date,symbol,sentiment_mean,sentiment_count,sentiment_std
2015-08-07,ADANIPORTS.NS,-1.0,1,0.0
2015-08-07,HINDUNILVR.NS,-1.0,1,0.0
2015-08-07,LT.NS,-1.0,1,0.0
2015-08-11,MARUTI.NS,0.0,2,0.0
2015-08-12,BPCL.NS,-1.0,2,0.0
2015-08-12,NESTLEIND.NS,0.0,1,0.0
2015-08-14,BPCL.NS,1.0,2,0.0
2015-08-18,ADANIENT.NS,-1.0,1,0.0
2015-08-18,ADANIPORTS.NS,0.0,1,0.0
2015-08-18,BPCL.NS,1.0,2,0.0
2015-08-18,MARUTI.NS,0.0,2,0.0
2015-08-19,ADANIENT.NS,-1.0,1,0.0
2015-08-19,ADANIPORTS.NS,0.0,1,0.0
2015-08-20,BPCL.NS,-1.0,2,0.0
2015-08-25,MARUTI.NS,0.0,2,0.0
2015-08-26,MARUTI.NS,0.0,2,0.0
2015-08-28,BHARTIARTL.NS,-1.0,2,0.0
2015-08-28,BPCL.NS,-1.0,2,0.0
2015-08-30,NESTLEIND.NS,0.0,1,0.0
2015-08-31,AXISBANK.NS,-1.0,1,0.0
2015-08-31,BHARTIARTL.NS,0.0,2,0.0
2015-09-01,ICICIBANK.NS,0.0,1,0.0
2015-09-01,SBIN.NS,0.0,1,0.0
2015-09-02,MARUTI.NS,-1.0,2,0.0
2015-09-03,BPCL.NS,-1.0,2,0.0
2015-09-04,BPCL.NS,-1.0,2,0.0
2015-09-04,CIPLA.NS,0.0,1,0.0
2015-09-04,ONGC.NS,1.0,1,0.0
2015-09-08,BPCL.NS,1.0,2,0.0
2015-09-08,INFY.NS,0.0,1,0.0
2015-09-10,BPCL.NS,1.0,2,0.0
2015-09-11,BPCL.NS,0.0,2,0.0
2015-09-16,ASIANPAINT.NS,-1.0,2,0.0
2015-09-16,BPCL.NS,0.0,2,0.0
2015-09-21,ASIANPAINT.NS,-1.0,2,0.0
2015-09-29,BPCL.NS,0.0,2,0.0
2015-10-05,INFY.NS,-1.0,1,0.0
2015-10-06,COALINDIA.NS,0.0,1,0.0
2015-10-09,ASIANPAINT.NS,0.0,2,0.0
2015-10-11,BRITANNIA.NS,0.0,1,0.0
2015-10-13,BPCL.NS,1.0,2,0.0
2015-10-15,ADANIENT.NS,-1.0,1,0.0
2015-10-15,ADANIPORTS.NS,-1.0,1,0.0
2015-10-15,COALINDIA.NS,0.0,1,0.0
2015-10-16,NESTLEIND.NS,0.0,2,0.0
2015-10-19,COALINDIA.NS,0.0,1,0.0
2015-10-20,ADANIENT.NS,0.0,1,0.0
2015-10-20,ADANIPORTS.NS,0.0,1,0.0
2015-10-20,SBIN.NS,1.0,1,0.0
2015-10-20,TATASTEEL.NS,0.0,2,0.0
2015-10-26,ASIANPAINT.NS,0.0,2,0.0
2015-10-27,COALINDIA.NS,-1.0,1,0.0
2015-10-29,BPCL.NS,0.0,2,0.0
2015-11-03,ASIANPAINT.NS,0.0,2,0.0
2015-11-04,COALINDIA.NS,1.0,1,0.0
2015-11-06,COALINDIA.NS,-1.0,1,0.0
2015-11-07,COALINDIA.NS,0.0,1,0.0
2015-11-10,COALINDIA.NS,-1.0,2,0.0
2015-11-11,BPCL.NS,0.0,2,0.0
2015-11-11,NESTLEIND.NS,0.0,1,0.0
2015-11-12,BPCL.NS,0.0,2,0.0
2015-11-17,BPCL.NS,1.0,2,0.0
2015-11-17,COALINDIA.NS,0.0,1,0.0
2015-11-18,ASIANPAINT.NS,0.0,2,0.0
2015-11-23,NESTLEIND.NS,0.0,1,0.0
2015-11-27,NESTLEIND.NS,0.0,1,0.0
2015-11-29,COALINDIA.NS,0.0,1,0.0
2015-11-30,COALINDIA.NS,0.0,1,0.0
2015-12-03,COALINDIA.NS,-1.0,1,0.0
2015-12-04,COALINDIA.NS,-1.0,1,0.0
2015-12-06,COALINDIA.NS,0.0,2,0.0
2015-12-07,COALINDIA.NS,-1.0,1,0.0
2015-12-07,ITC.NS,0.0,1,0.0
2015-12-08,ADANIENT.NS,0.0,1,0.0
2015-12-08,ADANIPORTS.NS,1.0,1,0.0
2015-12-09,ADANIENT.NS,-1.0,1,0.0
2015-12-09,ADANIPORTS.NS,-1.0,1,0.0
2015-12-10,COALINDIA.NS,1.0,2,0.0
2015-12-14,M&M.NS,-1.0,2,0.0
2015-12-14,TECHM.NS,0.0,2,0.0
2015-12-26,TCS.NS,0.0,1,0.0
2015-12-27,BRITANNIA.NS,0.0,1,0.0
2015-12-31,RELIANCE.NS,-1.0,1,0.0
2016-01-02,NESTLEIND.NS,0.0,1,0.0
2016-01-05,APOLLOHOSP.NS,-1.0,1,0.0
2016-01-11,NESTLEIND.NS,1.0,1,0.0
2016-01-12,NESTLEIND.NS,1.0,1,0.0
2016-01-15,COALINDIA.NS,0.0,1,0.0
2016-01-18,BRITANNIA.NS,-1.0,1,0.0
2016-01-18,TATASTEEL.NS,-1.0,5,0.0
2016-01-27,ONGC.NS,1.0,1,0.0
2016-01-29,BHARTIARTL.NS,1.0,1,0.0
2016-02-01,M&M.NS,0.0,1,0.0
2016-02-01,NESTLEIND.NS,0.0,2,0.0
2016-02-03,MARUTI.NS,-1.0,2,0.0
2016-02-08,RELIANCE.NS,0.0,1,0.0
2016-02-11,RELIANCE.NS,1.0,1,0.0
2016-02-18,NESTLEIND.NS,1.0,1,0.0
2016-02-20,BRITANNIA.NS,0.0,1,0.0
2016-02-21,MARUTI.NS,0.0,1,0.0
2016-02-26,ADANIENT.NS,1.0,1,0.0
2016-02-26,ADANIPORTS.NS,1.0,1,0.0
2016-02-26,COALINDIA.NS,1.0,1,0.0
2016-02-27,RELIANCE.NS,0.0,2,0.0
2016-03-02,NESTLEIND.NS,1.0,1,0.0
2016-03-05,ITC.NS,0.0,1,0.0
2016-03-07,COALINDIA.NS,0.0,1,0.0
2016-03-07,M&M.NS,0.0,2,0.0
2016-03-08,M&M.NS,0.0,2,0.0
2016-03-09,COALINDIA.NS,0.0,1,0.0
2016-03-11,ADANIPORTS.NS,-1.0,2,0.0
2016-03-13,ONGC.NS,0.0,1,0.0
2016-03-16,ASIANPAINT.NS,0.0,2,0.0
2016-03-16,MARUTI.NS,0.0,2,0.0
2016-03-17,BPCL.NS,1.0,2,0.0
2016-03-17,TCS.NS,0.0,2,0.0
2016-03-18,BPCL.NS,0.0,2,0.0
2016-03-21,ASIANPAINT.NS,0.0,2,0.0
2016-03-22,ADANIPORTS.NS,-1.0,2,0.0
2016-03-22,LT.NS,-1.0,1,0.0
2016-03-23,HEROMOTOCO.NS,0.0,2,0.0
2016-03-29,TATASTEEL.NS,-1.0,1,0.0
2016-03-30,TATASTEEL.NS,0.0,6,0.0
2016-03-31,TATASTEEL.NS,0.0,3,0.0
2016-04-01,TATASTEEL.NS,-1.0,1,0.0
2016-04-02,ITC.NS,0.0,1,0.0
2016-04-02,NESTLEIND.NS,0.0,1,0.0
2016-04-02,TATASTEEL.NS,0.0,3,0.0
2016-04-02,TITAN.NS,0.0,1,0.0
2016-04-03,COALINDIA.NS,0.0,1,0.0
2016-04-03,TATASTEEL.NS,0.0,3,0.0
2016-04-04,ADANIENT.NS,1.0,1,0.0
2016-04-04,ADANIPORTS.NS,0.0,1,0.0
2016-04-04,TATASTEEL.NS,1.0,1,0.0
2016-04-05,ADANIPORTS.NS,-1.0,2,0.0
2016-04-05,BPCL.NS,0.0,2,0.0
2016-04-06,TATASTEEL.NS,0.0,2,0.0
2016-04-07,ADANIPORTS.NS,1.0,2,0.0
2016-04-07,TATASTEEL.NS,1.0,2,0.0
2016-04-09,TATASTEEL.NS,0.0,4,0.0
2016-04-11,TATASTEEL.NS,1.0,2,0.0
2016-04-15,COALINDIA.NS,0.0,1,0.0
2016-04-17,TCS.NS,0.0,1,0.0
2016-04-18,BPCL.NS,1.0,2,0.0
2016-04-19,COALINDIA.NS,0.0,3,0.0
2016-04-19,HINDUNILVR.NS,0.0,1,0.0
2016-04-20,COALINDIA.NS,0.0,1,0.0
2016-04-20,TATASTEEL.NS,0.0,1,0.0
2016-04-21,COALINDIA.NS,0.0,1,0.0
2016-04-21,HCLTECH.NS,0.0,1,0.0
2016-04-21,RELIANCE.NS,-1.0,1,0.0
2016-04-21,TATASTEEL.NS,-1.0,2,0.0
2016-04-22,ASIANPAINT.NS,1.0,2,0.0
2016-04-22,HINDUNILVR.NS,0.0,1,0.0
2016-04-25,BPCL.NS,0.0,2,0.0
2016-04-26,ADANIPORTS.NS,-1.0,2,0.0
2016-04-27,ADANIPORTS.NS,1.0,2,0.0
2016-04-27,COALINDIA.NS,1.0,1,0.0
2016-04-28,HINDUNILVR.NS,0.0,1,0.0
2016-04-29,TATASTEEL.NS,0.0,2,0.0
2016-05-01,TATASTEEL.NS,0.0,2,0.0
2016-05-02,WIPRO.NS,0.0,1,0.0
2016-05-04,ADANIPORTS.NS,-1.0,2,0.0
2016-05-05,ADANIPORTS.NS,1.0,2,0.0
2016-05-05,COALINDIA.NS,1.0,1,0.0
2016-05-06,ADANIENT.NS,-1.0,1,0.0
2016-05-06,ADANIPORTS.NS,-1.0,3,0.0
2016-05-06,TCS.NS,0.0,2,0.0
2016-05-10,COALINDIA.NS,0.0,1,0.0
2016-05-13,ASIANPAINT.NS,1.0,2,0.0
2016-05-13,TATASTEEL.NS,0.0,2,0.0
2016-05-16,BRITANNIA.NS,-1.0,1,0.0
2016-05-18,M&M.NS,-1.0,2,0.0
2016-05-18,MARUTI.NS,0.0,2,0.0
2016-05-19,ADANIPORTS.NS,1.0,2,0.0
2016-05-19,BPCL.NS,0.0,2,0.0
2016-05-20,ADANIENT.NS,1.0,1,0.0
2016-05-20,ADANIPORTS.NS,0.0,3,0.0
2016-05-20,BPCL.NS,-1.0,2,0.0
2016-05-20,COALINDIA.NS,0.0,2,0.0
2016-05-22,TATASTEEL.NS,0.0,1,0.0
2016-05-24,BPCL.NS,1.0,2,0.0
2016-05-27,BPCL.NS,-1.0,2,0.0
2016-05-28,ADANIENT.NS,0.0,1,0.0
2016-05-28,ADANIPORTS.NS,0.0,1,0.0
2016-06-01,ADANIPORTS.NS,0.0,2,0.0
2016-06-01,ASIANPAINT.NS,0.0,2,0.0
2016-06-07,BPCL.NS,1.0,2,0.0
2016-06-07,NESTLEIND.NS,0.0,1,0.0
2016-06-08,RELIANCE.NS,0.0,1,0.0
2016-06-10,ADANIENT.NS,1.0,2,0.0
2016-06-13,BPCL.NS,1.0,2,0.0
2016-06-14,ADANIPORTS.NS,0.0,2,0.0
2016-06-14,BPCL.NS,0.0,2,0.0
2016-06-15,ADANIPORTS.NS,0.0,2,0.0
2016-06-16,LT.NS,1.0,1,0.0
2016-06-20,ASIANPAINT.NS,0.0,2,0.0
2016-06-21,ADANIPORTS.NS,0.0,2,0.0
2016-06-22,ADANIPORTS.NS,-1.0,2,0.0
2016-06-23,SBIN.NS,1.0,1,0.0
2016-06-26,RELIANCE.NS,0.0,1,0.0
2016-06-28,TATASTEEL.NS,1.0,1,0.0
2016-06-29,BRITANNIA.NS,1.0,1,0.0
2016-06-30,BHARTIARTL.NS,1.0,1,0.0
2016-07-01,ADANIPORTS.NS,0.0,2,0.0
2016-07-01,LT.NS,0.0,1,0.0
2016-07-04,ADANIPORTS.NS,-1.0,2,0.0
2016-07-08,ASIANPAINT.NS,0.0,2,0.0
2016-07-10,TATASTEEL.NS,0.0,2,0.0
2016-07-11,ADANIPORTS.NS,0.0,2,0.0
2016-07-13,BPCL.NS,0.0,2,0.0
2016-07-15,RELIANCE.NS,1.0,2,0.0
2016-07-19,ADANIENT.NS,-1.0,1,0.0
2016-07-19,ADANIPORTS.NS,0.0,1,0.0
2016-07-19,BPCL.NS,0.0,2,0.0
2016-07-20,HINDUNILVR.NS,0.0,1,0.0
2016-07-25,MARUTI.NS,1.0,2,0.0
2016-07-28,ASIANPAINT.NS,0.0,2,0.0
2016-07-29,ADANIPORTS.NS,-1.0,2,0.0
2016-07-30,TATASTEEL.NS,0.0,1,0.0
2016-07-31,NTPC.NS,0.0,1,0.0
2016-08-04,ASIANPAINT.NS,0.0,2,0.0
2016-08-08,ADANIPORTS.NS,1.0,2,0.0
2016-08-08,BPCL.NS,-1.0,2,0.0
2016-08-10,ADANIPORTS.NS,1.0,2,0.0
2016-08-12,BPCL.NS,-1.0,2,0.0
2016-08-15,BPCL.NS,0.0,2,0.0
2016-08-16,ADANIPORTS.NS,1.0,2,0.0
2016-08-17,ADANIPORTS.NS,0.0,2,0.0
2016-08-21,NESTLEIND.NS,0.0,1,0.0
2016-08-21,RELIANCE.NS,0.0,2,0.0
2016-08-23,BPCL.NS,1.0,2,0.0
2016-08-25,ADANIPORTS.NS,1.0,2,0.0
2016-08-25,BPCL.NS,0.0,2,0.0
2016-08-28,HCLTECH.NS,0.0,1,0.0
2016-08-29,ADANIENT.NS,0.0,1,0.0
2016-08-29,ADANIPORTS.NS,0.0,1,0.0
2016-08-31,NESTLEIND.NS,0.0,1,0.0
2016-09-01,ADANIENT.NS,1.0,1,0.0
2016-09-01,ADANIPORTS.NS,0.0,1,0.0
2016-09-01,RELIANCE.NS,0.0,2,0.0
2016-09-02,ADANIPORTS.NS,0.0,2,0.0
2016-09-02,JSWSTEEL.NS,0.0,2,0.0
2016-09-02,MARUTI.NS,0.0,2,0.0
2016-09-02,TATASTEEL.NS,1.0,2,0.0
2016-09-04,ADANIENT.NS,0.0,1,0.0
2016-09-04,ADANIPORTS.NS,0.0,1,0.0
2016-09-06,COALINDIA.NS,0.0,1,0.0
2016-09-07,ASIANPAINT.NS,0.0,2,0.0
2016-09-07,COALINDIA.NS,0.0,2,0.0
2016-09-07,M&M.NS,-1.0,2,0.0
2016-09-08,SUNPHARMA.NS,-1.0,2,0.0
2016-09-09,RELIANCE.NS,0.0,1,0.0
2016-09-18,NESTLEIND.NS,0.0,1,0.0
2016-09-19,HINDUNILVR.NS,1.0,1,0.0
2016-09-20,ADANIPORTS.NS,1.0,2,0.0
2016-09-20,HEROMOTOCO.NS,1.0,2,0.0
2016-09-23,ADANIENT.NS,0.0,1,0.0
2016-09-23,ADANIPORTS.NS,-1.0,1,0.0
2016-09-24,NESTLEIND.NS,0.0,1,0.0
2016-09-26,BPCL.NS,0.0,2,0.0
2016-09-27,ADANIPORTS.NS,-1.0,2,0.0
2016-09-27,ITC.NS,0.0,1,0.0
2016-09-29,TCS.NS,0.0,2,0.0
2016-10-01,COALINDIA.NS,0.0,1,0.0
2016-10-03,LT.NS,0.0,2,0.0
2016-10-05,BPCL.NS,-1.0,2,0.0
2016-10-06,BPCL.NS,0.0,2,0.0
2016-10-07,ASIANPAINT.NS,0.0,2,0.0
2016-10-07,COALINDIA.NS,-1.0,1,0.0
2016-10-10,ADANIPORTS.NS,1.0,2,0.0
2016-10-10,ASIANPAINT.NS,0.0,2,0.0
2016-10-13,ADANIPORTS.NS,-1.0,2,0.0
2016-10-14,TCS.NS,1.0,2,0.0
2016-10-15,HCLTECH.NS,0.0,1,0.0
2016-10-17,ASIANPAINT.NS,0.0,2,0.0
2016-10-18,ADANIPORTS.NS,1.0,2,0.0
2016-10-18,ASIANPAINT.NS,0.0,2,0.0
2016-10-19,ADANIPORTS.NS,0.0,2,0.0
2016-10-20,ADANIPORTS.NS,0.0,2,0.0
2016-10-20,AXISBANK.NS,0.0,1,0.0
2016-10-20,ICICIBANK.NS,1.0,1,0.0
2016-10-20,SBIN.NS,1.0,1,0.0
2016-10-21,TCS.NS,-1.0,2,0.0
2016-10-24,ASIANPAINT.NS,-1.0,2,0.0
2016-10-24,BPCL.NS,-1.0,2,0.0
2016-10-24,COALINDIA.NS,0.0,1,0.0
2016-10-25,ADANIPORTS.NS,0.0,2,0.0
2016-10-25,M&M.NS,0.0,2,0.0
2016-10-25,TCS.NS,0.0,2,0.0
2016-10-26,BHARTIARTL.NS,-1.0,2,0.0
2016-10-26,TATASTEEL.NS,1.0,2,0.0
2016-10-27,ASIANPAINT.NS,0.0,2,0.0
2016-10-27,NESTLEIND.NS,-1.0,1,0.0
2016-10-27,TATASTEEL.NS,1.0,2,0.0
2016-10-28,ASIANPAINT.NS,-1.0,2,0.0
2016-10-28,BRITANNIA.NS,0.0,1,0.0
2016-10-28,TATASTEEL.NS,-1.0,2,0.0
2016-10-28,TCS.NS,-1.0,2,0.0
2016-10-30,COALINDIA.NS,0.0,1,0.0
2016-10-31,NTPC.NS,0.0,2,0.0
2016-10-31,ONGC.NS,0.0,2,0.0
2016-10-31,TECHM.NS,0.0,2,0.0
2016-11-03,ADANIPORTS.NS,1.0,2,0.0
2016-11-04,TATASTEEL.NS,0.0,2,0.0
2016-11-04,TCS.NS,0.0,2,0.0
2016-11-05,TATASTEEL.NS,0.0,2,0.0
2016-11-05,TCS.NS,0.0,2,0.0
2016-11-08,ASIANPAINT.NS,-1.0,2,0.0
2016-11-08,MARUTI.NS,-1.0,2,0.0
2016-11-08,TATACONSUM.NS,1.0,2,0.0
2016-11-08,TATASTEEL.NS,1.0,2,0.0
2016-11-08,TCS.NS,0.0,2,0.0
2016-11-09,TCS.NS,-1.0,2,0.0
2016-11-09,ULTRACEMCO.NS,-1.0,2,0.0
2016-11-10,ASIANPAINT.NS,-1.0,2,0.0
2016-11-10,TATASTEEL.NS,-1.0,4,0.0
2016-11-10,TCS.NS,0.0,5,0.0
2016-11-11,ADANIPORTS.NS,0.0,2,0.0
2016-11-11,COALINDIA.NS,0.0,1,0.0
2016-11-11,TATASTEEL.NS,0.0,2,0.0
2016-11-11,TCS.NS,1.0,2,0.0
2016-11-13,TATASTEEL.NS,0.0,2,0.0
2016-11-13,TCS.NS,0.0,2,0.0
2016-11-15,ASIANPAINT.NS,-1.0,2,0.0
2016-11-15,BHARTIARTL.NS,-1.0,2,0.0
2016-11-15,RELIANCE.NS,0.0,1,0.0
2016-11-16,ASIANPAINT.NS,-1.0,2,0.0
2016-11-16,BRITANNIA.NS,-1.0,1,0.0
2016-11-17,ADANIENT.NS,-1.0,1,0.0
2016-11-17,ADANIPORTS.NS,-1.0,1,0.0
2016-11-17,BHARTIARTL.NS,-1.0,2,0.0
2016-11-18,ASIANPAINT.NS,0.0,2,0.0
2016-11-18,BHARTIARTL.NS,1.0,2,0.0
2016-11-18,NESTLEIND.NS,0.0,1,0.0
2016-11-22,BRITANNIA.NS,0.0,1,0.0
2016-11-22,COALINDIA.NS,-1.0,1,0.0
2016-11-22,TCS.NS,1.0,2,0.0
2016-11-23,ASIANPAINT.NS,0.0,2,0.0
2016-11-23,BHARTIARTL.NS,0.0,2,0.0
2016-11-23,RELIANCE.NS,0.0,1,0.0
2016-11-24,BRITANNIA.NS,0.0,1,0.0
2016-11-25,ADANIENT.NS,1.0,1,0.0
2016-11-25,ADANIPORTS.NS,1.0,1,0.0
2016-11-25,BHARTIARTL.NS,1.0,2,0.0
2016-11-25,TATASTEEL.NS,0.0,2,0.0
2016-11-26,ADANIENT.NS,0.0,1,0.0
2016-11-26,ADANIPORTS.NS,0.0,1,0.0
2016-11-28,ADANIPORTS.NS,0.0,2,0.0
2016-11-28,BHARTIARTL.NS,0.0,2,0.0
2016-11-29,ASIANPAINT.NS,-1.0,2,0.0
2016-11-29,BHARTIARTL.NS,-1.0,4,0.0
2016-11-29,TATASTEEL.NS,-1.0,4,0.0
2016-11-30,COALINDIA.NS,0.0,1,0.0
2016-11-30,HINDUNILVR.NS,-1.0,1,0.0
2016-11-30,NESTLEIND.NS,0.0,1,0.0
2016-12-01,ASIANPAINT.NS,1.0,2,0.0
2016-12-01,COALINDIA.NS,0.0,2,0.0
2016-12-01,HINDUNILVR.NS,1.0,1,0.0
2016-12-02,ASIANPAINT.NS,0.0,2,0.0
2016-12-02,NESTLEIND.NS,0.0,1,0.0
2016-12-05,ADANIENT.NS,0.0,1,0.0
2016-12-05,ADANIPORTS.NS,1.0,1,0.0
2016-12-05,ASIANPAINT.NS,0.0,2,0.0
2016-12-05,TCS.NS,-1.0,2,0.0
2016-12-06,APOLLOHOSP.NS,0.0,1,0.0
2016-12-07,ADANIPORTS.NS,0.0,2,0.0
2016-12-07,BPCL.NS,0.0,2,0.0
