date,open,high,low,close,volume,symbol
2022-01-03 00:00:00+05:30,35584.78703524051,36491.67887433692,35526.1900577274,36421.4765625,219000,BANKNIFTY
2022-01-04 00:00:00+05:30,36550.823682085975,36887.37053795375,36373.97418230583,36839.71875,190500,BANKNIFTY
2022-01-05 00:00:00+05:30,36943.1220130249,37861.9590050948,36755.92496691599,37695.4609375,237400,BANKNIFTY
2022-01-06 00:00:00+05:30,37242.116171825764,37752.05943962096,37058.01675773592,37489.8125,199000,BANKNIFTY
2022-01-07 00:00:00+05:30,37666.61412230199,38134.40948052595,37427.36689583087,37739.1640625,183300,BANKNIFTY
2022-01-10 00:00:00+05:30,37930.11031517277,38399.90564089146,37928.91111034862,38347.453125,206500,BANKNIFTY
2022-01-11 00:00:00+05:30,38369.55552385211,38504.15552713439,38031.309442123085,38441.75390625,159500,BANKNIFTY
2022-01-12 00:00:00+05:30,38719.15243595666,38850.9985628448,38604.15376989478,38727.1015625,156100,BANKNIFTY
2022-01-13 00:00:00+05:30,38717.10260261493,38717.10260261493,38375.704210799726,38469.50390625,159200,BANKNIFTY
2022-01-14 00:00:00+05:30,38301.9070397266,38447.60456754593,38007.3088962622,38369.953125,148600,BANKNIFTY
2022-01-17 00:00:00+05:30,38212.10551067158,38617.0500107632,38137.80559520916,38215.703125,140300,BANKNIFTY
2022-01-18 00:00:00+05:30,38336.9516437718,38855.09794884346,38094.95446410095,38209.85546875,168800,BANKNIFTY
2022-01-19 00:00:00+05:30,38145.307382380764,38330.055238666064,37768.81175103346,38040.91015625,165300,BANKNIFTY
2022-01-20 00:00:00+05:30,38105.657179594506,38167.5041145941,37591.41317663697,37850.41015625,149600,BANKNIFTY
2022-01-21 00:00:00+05:30,37521.91466737574,37740.56055902154,37223.816575850076,37573.86328125,157800,BANKNIFTY
2022-01-24 00:00:00+05:30,37601.511920817844,37694.26084216676,36374.928529483084,36947.12109375,231000,BANKNIFTY
2022-01-25 00:00:00+05:30,36597.62614515124,37788.36232923964,36415.17904330427,37706.3125,267500,BANKNIFTY
2022-01-27 00:00:00+05:30,37057.76854956436,38147.20510735895,37011.819864809884,37981.66015625,346300,BANKNIFTY
2022-01-28 00:00:00+05:30,38246.157594464494,38421.253218174104,37581.06375248925,37688.9609375,294300,BANKNIFTY
2022-01-31 00:00:00+05:30,38091.35802145327,38216.8057820451,37647.413962944105,37974.91015625,217800,BANKNIFTY
2022-02-01 00:00:00+05:30,38460.00052557831,38802.246532769044,37690.16185064272,38505.05078125,234100,BANKNIFTY
2022-02-02 00:00:00+05:30,38841.09943172468,39386.143879334384,38752.19812104442,39330.04296875,252600,BANKNIFTY
2022-02-03 00:00:00+05:30,39255.243239803356,39424.39361874547,38860.6970415019,39009.546875,193800,BANKNIFTY
2022-02-04 00:00:00+05:30,39127.54685936882,39278.146677754965,38562.15496973748,38788.90234375,163100,BANKNIFTY
2022-02-07 00:00:00+05:30,38591.602444073695,38837.099592015446,37802.26005174329,37995.0078125,241900,BANKNIFTY
2022-02-08 00:00:00+05:30,38175.65844241026,38221.65790847612,37318.61760917495,38028.0078125,200200,BANKNIFTY
2022-02-09 00:00:00+05:30,38283.156144207205,38647.69877781298,38191.55564746408,38609.80078125,124900,BANKNIFTY
2022-02-10 00:00:00+05:30,38800.99852716137,39196.743930395016,38519.552577536575,39010.49609375,147800,BANKNIFTY
2022-02-11 00:00:00+05:30,38567.19863096341,38789.79759730725,38395.95062821687,38516.80078125,155000,BANKNIFTY
2022-02-14 00:00:00+05:30,37663.56151759803,37796.110755698464,36827.62203092697,36908.12109375,213800,BANKNIFTY
2022-02-15 00:00:00+05:30,36989.3692387603,38231.15553250862,36651.423962703804,38169.65625,193000,BANKNIFTY
2022-02-16 00:00:00+05:30,38296.054608126055,38461.25190559371,37762.36159634785,37953.359375,170100,BANKNIFTY
2022-02-17 00:00:00+05:30,38041.65811223532,38124.05558923084,37425.16529867026,37531.2109375,136300,BANKNIFTY
2022-02-18 00:00:00+05:30,37344.014682405104,37817.11073994177,37304.01514784118,37598.7109375,113500,BANKNIFTY
2022-02-21 00:00:00+05:30,37399.565815608046,38053.95665606025,37156.369420208444,37685.1640625,143300,BANKNIFTY
2022-02-22 00:00:00+05:30,36832.57265576282,37658.96150521379,36817.67439111764,37371.21484375,159400,BANKNIFTY
2022-02-23 00:00:00+05:30,37628.11444507428,37774.16353273688,37317.567264934005,37391.6171875,137300,BANKNIFTY
2022-02-24 00:00:00+05:30,36084.779083422356,36708.721037611955,34990.94416269976,35227.69140625,427800,BANKNIFTY
2022-02-25 00:00:00+05:30,35901.283470258466,36684.2236223079,35767.785016213806,36430.328125,372800,BANKNIFTY
2022-02-28 00:00:00+05:30,35938.53044735812,36269.827368192266,35611.4834770017,36204.87890625,238300,BANKNIFTY
2022-03-02 00:00:00+05:30,35381.48817576046,35553.28696493851,34897.044574317275,35372.390625,211300,BANKNIFTY
2022-03-03 00:00:00+05:30,35620.73431871012,35803.73219121727,34720.744781789705,34943.89453125,172500,BANKNIFTY
2022-03-04 00:00:00+05:30,34525.70175509357,35097.34357298496,34093.70675759289,34407.40234375,194500,BANKNIFTY
2022-03-07 00:00:00+05:30,33277.76088633603,33542.910142170855,32376.122949267025,32870.8671875,248900,BANKNIFTY
2022-03-08 00:00:00+05:30,32531.520975180167,33263.16283265908,32154.974585594362,33157.71484375,276800,BANKNIFTY
2022-03-09 00:00:00+05:30,33278.510166289576,33969.10367141036,32948.514016462075,33815.0546875,258500,BANKNIFTY
2022-03-10 00:00:00+05:30,35153.53895841762,35373.73560735664,34217.65144321832,34475.19921875,273900,BANKNIFTY
2022-03-11 00:00:00+05:30,34330.60016316442,34879.64454988099,34093.903701137686,34545.84765625,169500,BANKNIFTY
2022-03-14 00:00:00+05:30,34659.84741565458,35434.68997812979,34624.648605749135,35311.73828125,193300,BANKNIFTY
2022-03-15 00:00:00+05:30,35467.53780342269,35643.387326108445,34705.648203667806,35022.2421875,224200,BANKNIFTY
2022-03-16 00:00:00+05:30,35555.33816717645,35805.93682702501,35461.140039511025,35747.8359375,173800,BANKNIFTY
2022-03-17 00:00:00+05:30,36301.57959057054,36611.52521983307,36261.2284953775,36428.12890625,182000,BANKNIFTY
2022-03-21 00:00:00+05:30,36545.42747421494,36599.77449979954,35899.78262279536,36018.08203125,128700,BANKNIFTY
2022-03-22 00:00:00+05:30,35975.1840160894,36468.377510583116,35384.33931123565,36348.12890625,202900,BANKNIFTY
2022-03-23 00:00:00+05:30,36627.27173762234,36827.17174831618,36064.329089041144,36146.9296875,197900,BANKNIFTY
2022-03-24 00:00:00+05:30,35633.28391387192,35957.28013770544,35421.286384696905,35526.6875,205200,BANKNIFTY
2022-03-25 00:00:00+05:30,35699.98491873274,35716.98472182124,35203.44379524983,35409.69140625,157000,BANKNIFTY
2022-03-28 00:00:00+05:30,35488.28772802542,35770.3860195637,35015.89476797541,35710.0859375,197000,BANKNIFTY
2022-03-29 00:00:00+05:30,35931.331047738815,35976.77973656604,35506.13678667037,35846.98046875,177100,BANKNIFTY
2022-03-30 00:00:00+05:30,36241.1299831637,36420.67867966226,36070.13196863262,36333.87890625,325600,BANKNIFTY
2022-03-31 00:00:00+05:30,36456.77637415228,36590.42716775107,36277.727669602005,36373.1796875,188100,BANKNIFTY
2022-04-01 00:00:00+05:30,36297.9278916015,37209.36647200313,36241.92854522817,37148.06640625,245700,BANKNIFTY
2022-04-04 00:00:00+05:30,37824.50942092961,38765.40082463055,37665.11283678531,38634.75,309200,BANKNIFTY
2022-04-05 00:00:00+05:30,38730.851682693545,38758.80057736577,37935.50934248227,38067.45703125,220600,BANKNIFTY
2022-04-06 00:00:00+05:30,37710.862368648515,37868.05975987952,37513.41544534375,37632.36328125,198800,BANKNIFTY
2022-04-07 00:00:00+05:30,37421.31407960242,37975.45606190973,37346.36573392472,37556.9140625,245000,BANKNIFTY
2022-04-08 00:00:00+05:30,37619.2632525424,37883.76018731157,37404.76573833451,37751.61328125,202200,BANKNIFTY
2022-04-11 00:00:00+05:30,37591.31275648078,37941.30868550159,37524.01275803101,37613.36328125,132100,BANKNIFTY
2022-04-12 00:00:00+05:30,37406.964878168925,37920.162055040666,37264.01731622934,37746.9609375,171000,BANKNIFTY
2022-04-13 00:00:00+05:30,37886.86228134054,37988.161890155905,37407.76626386453,37462.96484375,143300,BANKNIFTY
2022-04-18 00:00:00+05:30,36832.72144890834,36965.42303554621,36440.929115817,36728.57421875,182900,BANKNIFTY
2022-04-19 00:00:00+05:30,36806.37350593983,37123.119828916795,35925.88372730932,36341.1796875,216300,BANKNIFTY
2022-04-20 00:00:00+05:30,36482.17773927052,36513.427376235115,36113.63123952391,36314.4765625,153400,BANKNIFTY
2022-04-21 00:00:00+05:30,36512.675411368786,36912.920739977344,36395.27443784316,36815.671875,132700,BANKNIFTY
2022-04-22 00:00:00+05:30,36513.72502568608,36578.52505551732,35991.08264872788,36044.33203125,140100,BANKNIFTY
2022-04-25 00:00:00+05:30,35791.93695303597,36269.72829335894,35510.98708252526,36081.93359375,183100,BANKNIFTY
2022-04-26 00:00:00+05:30,36514.92840638845,36604.126591458284,36265.47817216205,36404.37890625,143400,BANKNIFTY
2022-04-27 00:00:00+05:30,36067.13236355247,36175.47876286719,35746.73373677265,36028.43359375,134200,BANKNIFTY
2022-04-28 00:00:00+05:30,36189.53003388049,36500.67877358137,35950.685144181036,36421.77734375,137300,BANKNIFTY
2022-04-29 00:00:00+05:30,36473.62834302381,36718.37550835769,35978.53251473269,36087.73046875,172700,BANKNIFTY
2022-05-02 00:00:00+05:30,35627.18594204003,36234.827290903355,35617.783707974835,36163.328125,170200,BANKNIFTY
2022-05-04 00:00:00+05:30,36265.726631830694,36308.87847368281,35127.44299617636,35264.140625,214600,BANKNIFTY
2022-05-05 00:00:00+05:30,35704.93590573501,35934.4332340563,35133.39177808001,35232.44140625,167300,BANKNIFTY
2022-05-06 00:00:00+05:30,34568.69947577647,34797.54447020999,34352.79964327097,34590.796875,199200,BANKNIFTY
2022-05-09 00:00:00+05:30,34091.35369733804,34553.949882283916,33926.804828923625,34275.0,179900,BANKNIFTY
2022-05-10 00:00:00+05:30,34180.80039231131,34781.39494698865,34176.402006132295,34482.24609375,138000,BANKNIFTY
2022-05-11 00:00:00+05:30,34685.898516913716,34792.795714690015,34142.803252876925,34692.74609375,179500,BANKNIFTY
2022-05-12 00:00:00+05:30,34288.70211954982,34340.79916890023,33297.26054425346,33531.7578125,382100,BANKNIFTY
2022-05-13 00:00:00+05:30,33925.55310566718,34001.80221538634,33007.51304340762,33120.96484375,272700,BANKNIFTY
2022-05-16 00:00:00+05:30,33255.61334665584,33821.25520760244,33001.366302712275,33597.2109375,195100,BANKNIFTY
2022-05-17 00:00:00+05:30,33795.80665525528,34365.651598581346,33680.210341742655,34301.5,161500,BANKNIFTY
2022-05-18 00:00:00+05:30,34447.797463240786,34655.396604567155,34134.30111946535,34163.30078125,146800,BANKNIFTY
2022-05-19 00:00:00+05:30,33460.611594049624,33633.55880525336,33180.216411336434,33315.26171875,150400,BANKNIFTY
2022-05-20 00:00:00+05:30,33764.75594289894,34357.651394602566,33657.659531579106,34276.0,129400,BANKNIFTY
2022-05-23 00:00:00+05:30,34320.99914144521,34819.54412254227,34116.95464033193,34247.203125,156000,BANKNIFTY
2022-05-24 00:00:00+05:30,34222.80155917254,34586.04733835611,34115.40436959846,34289.75,163700,BANKNIFTY
2022-05-25 00:00:00+05:30,34491.40057662053,34722.19867991406,34285.40296681622,34339.1015625,153600,BANKNIFTY
2022-05-26 00:00:00+05:30,34670.20022405733,35221.64305936543,34424.351507475156,35094.4921875,191500,BANKNIFTY
2022-05-27 00:00:00+05:30,35326.19083334436,35694.43655183963,35291.538892484175,35612.88671875,132600,BANKNIFTY
2022-05-30 00:00:00+05:30,35958.381274277126,36083.278254671655,35748.03216580633,35826.53125,127000,BANKNIFTY
2022-05-31 00:00:00+05:30,35614.885226401544,35881.53055268113,35288.53747173052,35486.984375,149300,BANKNIFTY
2022-06-01 00:00:00+05:30,35358.53820005896,35768.283437052356,35285.03905443598,35620.38671875,100800,BANKNIFTY
2022-06-02 00:00:00+05:30,35470.53681534414,35675.78442900261,35384.58859588373,35613.234375,140700,BANKNIFTY
2022-06-03 00:00:00+05:30,35929.133014882944,35958.03111636997,35174.69256839707,35274.640625,104800,BANKNIFTY
2022-06-06 00:00:00+05:30,35158.740035825824,35424.088516054864,35071.89338838092,35309.7890625,100800,BANKNIFTY
2022-06-07 00:00:00+05:30,35080.393546842715,35153.892693620204,34833.994063446815,34995.59375,91600,BANKNIFTY
2022-06-08 00:00:00+05:30,35165.239635806065,35449.48633139148,34831.34507988519,34945.7421875,124600,BANKNIFTY
2022-06-09 00:00:00+05:30,34801.847029128105,35148.69457547752,34658.700249125846,35085.04296875,100900,BANKNIFTY
2022-06-10 00:00:00+05:30,34686.544504742014,34752.04374051316,34346.247693990896,34483.3984375,90000,BANKNIFTY
2022-06-13 00:00:00+05:30,33728.25798193151,33773.65980008683,33209.967106931814,33405.46484375,131900,BANKNIFTY
2022-06-14 00:00:00+05:30,33180.216361655286,33617.758157078126,33123.513894934236,33310.96484375,113200,BANKNIFTY
2022-06-15 00:00:00+05:30,33317.41430840226,33554.16156219919,33249.165100074315,33338.61328125,90800,BANKNIFTY
2022-06-16 00:00:00+05:30,33648.40988993613,33756.10785756608,32537.57123197408,32616.720703125,129500,BANKNIFTY
2022-06-17 00:00:00+05:30,32393.072425857183,32889.41821491392,32290.17518524732,32742.669921875,139800,BANKNIFTY
2022-06-20 00:00:00+05:30,32873.01538049235,32925.71789136961,32426.022542258448,32684.419921875,144400,BANKNIFTY
2022-06-21 00:00:00+05:30,32977.666552320356,33593.40937818611,32797.16865533494,33191.36328125,258100,BANKNIFTY
2022-06-22 00:00:00+05:30,33051.2632200148,33106.56335673332,32757.76859386418,32844.91796875,135000,BANKNIFTY
2022-06-23 00:00:00+05:30,32927.01414166887,33431.35981787927,32651.769307215192,33134.61328125,193100,BANKNIFTY
2022-06-24 00:00:00+05:30,33434.41239410323,33721.50671535386,33390.46368587853,33627.05859375,149800,BANKNIFTY
2022-06-27 00:00:00+05:30,34125.80101247146,34147.10154517034,33735.10635264936,33810.85546875,111400,BANKNIFTY
2022-06-28 00:00:00+05:30,33577.80933976157,33744.9089620328,33502.91177191294,33642.05859375,125000,BANKNIFTY
2022-06-29 00:00:00+05:30,33273.164020046315,33422.41228521164,33184.8642651766,33269.51171875,140800,BANKNIFTY
2022-06-30 00:00:00+05:30,33180.31532766437,33658.91135288283,33179.21768411394,33424.71484375,149500,BANKNIFTY
2022-07-01 00:00:00+05:30,33264.36257434838,33666.10789527351,33080.06393960031,33539.05859375,149900,BANKNIFTY
2022-07-04 00:00:00+05:30,33558.461472188166,33978.10503166695,33515.21197492903,33940.50390625,152600,BANKNIFTY
