date,symbol,direction,confidence,score,predicted_magnitude,entry_price,exit_price,exit_reason,gross_pct,net_pnl,max_profit_pct,max_drawdown_pct
2025-01-01,COHANCE,LONG,0.8383,0.029666,0.035389,1111.0,1099.89,STOP,-0.01,-236.4,0.006706,-0.013276
2025-01-01,ITI,SHORT,0.8594,0.027744,0.032284,390.0,384.15,TARGET,0.015,263.6,0.016923,-0.01641
2025-01-01,TARIL,SHORT,0.8915,0.026896,0.030169,597.95,588.98,TARGET,0.015,263.6,0.020738,-0.000753
2025-01-01,SAGILITY,LONG,0.8027,0.026056,0.03246,48.5,48.02,STOP,-0.01,-236.4,0.007629,-0.011959
2025-01-01,GICRE,SHORT,0.8374,0.024743,0.029549,435.4,439.75,STOP,-0.01,-236.4,0.006775,-0.012517
2025-01-02,SAGILITY,LONG,0.816,0.047898,0.058698,46.66,46.96,TRAILING,0.006515,93.9,0.011573,0.0
2025-01-02,GODFRYPHLP,LONG,0.8646,0.039622,0.045825,1669.0,1694.03,TARGET,0.015,263.6,0.015578,0.0
2025-01-02,COHANCE,LONG,0.8494,0.03328,0.039181,1103.3,1112.36,TRAILING,0.008212,127.84,0.013278,-0.000816
2025-01-02,BBTC,LONG,0.8416,0.032015,0.038042,2220.0,2238.5,TRAILING,0.008334,130.28,0.013401,0.0
2025-01-02,CENTURYPLY,LONG,0.8209,0.028735,0.035004,789.7,781.8,STOP,-0.01,-236.4,0.005129,-0.011017
2025-01-03,SUNDARMFIN,LONG,0.8599,0.041341,0.048077,4670.55,4623.84,STOP,-0.01,-236.4,0.009956,-0.015105
2025-01-03,CENTURYPLY,LONG,0.8467,0.029547,0.034897,836.8,828.43,STOP,-0.01,-236.4,0.003824,-0.014579
2025-01-03,SAGILITY,SHORT,0.7778,0.02266,0.029131,51.77,52.29,STOP,-0.01,-236.4,0.000773,-0.012749
2025-01-03,TBOTEK,LONG,0.8153,0.0221,0.027105,1779.95,1789.01,TRAILING,0.00509,65.4,0.010141,-0.004523
2025-01-03,WOCKPHARMA,SHORT,0.8166,0.021193,0.025952,1515.0,1530.15,STOP,-0.01,-236.4,0.003267,-0.02637
2025-01-06,ITI,LONG,0.8274,0.052372,0.063296,473.4,480.5,TARGET,0.015,263.6,0.024081,0.0
