date,trades,pnl_pct
2024-01-01,4,-0.0006879152268146685
2024-01-02,3,0.011372499691053174
2024-01-03,5,0.00864595198675686
2024-01-04,5,0.025200771984890253
2024-01-05,4,0.017657083830911725
2024-01-08,4,-0.003050091196163649
2024-01-09,3,0.004879075959340576
2024-01-10,4,0.016421712510785585
2024-01-11,4,-0.015129084325195722
2024-01-12,3,0.019947698252386126
2024-01-15,5,-0.037753168375904665
2024-01-16,2,-0.014768328956869237
2024-01-17,2,0.01340085491789264
2024-01-18,5,-0.038032417747111205
2024-01-19,5,0.010983034058916121
