Date,Open,High,Low,Close,Volume
2013-01-01 00:00:00+05:30,336.2915905902491,341.16011209383186,335.1996036754736,336.4736022949219,591988
2013-01-02 00:00:00+05:30,336.74654183052195,339.8860627555728,336.5190411191728,337.1105651855469,1043632
2013-01-03 00:00:00+05:30,340.3182763853902,340.3182763853902,332.19648536037016,333.9027404785156,1040878
2013-01-04 00:00:00+05:30,335.5635660188408,335.5635660188408,330.53580560084316,334.49432373046875,1031736
2013-01-07 00:00:00+05:30,337.06499273894894,340.7277480328164,335.3814821986578,338.5892639160156,1968642
2013-01-08 00:00:00+05:30,338.99882366416824,345.80110087373026,338.99882366416824,343.2758483886719,2574802
2013-01-09 00:00:00+05:30,343.5260621395933,348.8268396373324,341.95630173189136,346.3470764160156,1819204
2013-01-10 00:00:00+05:30,347.62110912511395,348.0306215401088,341.3420946453956,343.1848449707031,1012396
2013-01-11 00:00:00+05:30,342.8435414236544,343.7762887027741,334.47150488430617,336.3597717285156,1182982
2013-01-14 00:00:00+05:30,336.9058296139223,336.9058296139223,333.06106180255836,334.56256103515625,1647772
2013-01-15 00:00:00+05:30,334.4714944345917,334.7217674038002,330.4219989229327,332.24200439453125,785236
2013-01-16 00:00:00+05:30,329.9442363157353,335.7227311782808,326.69096559173175,327.3052062988281,1503468
2013-01-17 00:00:00+05:30,327.601027229341,328.35179069184153,324.12025520659597,326.23602294921875,1800816
2013-01-18 00:00:00+05:30,327.6009698765505,329.42097526475357,321.2309510178398,323.98370361328125,1639450
2013-01-21 00:00:00+05:30,324.1883941713931,324.9163850709279,315.77087095431136,318.4326171875,3077902
2013-01-22 00:00:00+05:30,319.8204712183466,325.6444831479931,319.1607136835369,323.3694763183594,2258682
2013-01-23 00:00:00+05:30,323.5060687735283,324.6208280105801,320.3665472930294,322.93731689453125,1375524
2013-01-24 00:00:00+05:30,322.1409199280623,327.0549284066482,320.77591603006204,323.1646728515625,1313338
2013-01-25 00:00:00+05:30,324.32497626799534,333.44774833097256,318.500964191285,331.55950927734375,2269980
2013-01-28 00:00:00+05:30,332.1510261623172,332.31026554588004,325.37149410892755,327.85125732421875,767284
2013-01-29 00:00:00+05:30,326.32696614833515,331.65048737314635,322.2319540940308,323.6651916503906,822060
2013-01-30 00:00:00+05:30,324.8255505658966,325.89479287912536,320.6622761348183,322.52777099609375,611896
2013-01-31 00:00:00+05:30,319.9797686733575,329.5575436105365,319.9797686733575,326.6910400390625,1453696
2013-02-01 00:00:00+05:30,326.7137422412185,329.42100606349794,326.0084956415694,327.5555114746094,494318
2013-02-04 00:00:00+05:30,326.7138055450728,330.672323955726,325.3260565921487,327.4645690917969,1340546
2013-02-05 00:00:00+05:30,334.42603907162066,342.16106310456973,332.53777209632074,341.0235595703125,4320004
2013-02-06 00:00:00+05:30,343.2075142502043,345.80102751075066,339.20350790692714,340.5685119628906,2437380
2013-02-07 00:00:00+05:30,339.4310546223524,343.41231699225267,338.9987977251182,341.0235595703125,1619600
2013-02-08 00:00:00+05:30,341.8880923433578,344.89109073206356,337.45182831349285,339.4765625,3330272
2013-02-11 00:00:00+05:30,341.84251944507145,343.4122797061255,339.4310177684924,340.95526123046875,1830156
2013-02-12 00:00:00+05:30,341.25109650917983,352.33037100074375,339.658591392137,351.1246337890625,2452572
2013-02-13 00:00:00+05:30,352.17108348046077,354.83283056112464,350.35107788107854,352.8308410644531,2224038
2013-02-14 00:00:00+05:30,352.55781747394803,356.67560228830985,350.41933314846636,354.42333984375,2065870
2013-02-15 00:00:00+05:30,353.08108709030387,358.6775987670292,353.08108709030387,357.72210693359375,1863412
2013-02-18 00:00:00+05:30,358.0861882949896,361.7034558529495,355.90218660166477,358.5639343261719,1662562
2013-02-19 00:00:00+05:30,357.67660931658673,361.7261331101525,353.3540957762767,360.6568908691406,1212136
2013-02-20 00:00:00+05:30,361.7261167016946,366.1851249131092,359.587604545594,363.6826171875,1894642
2013-02-21 00:00:00+05:30,362.9773062392088,364.91106186630583,360.8843112571346,362.8635559082031,1410756
2013-02-22 00:00:00+05:30,363.955658641024,370.3484232428679,363.591635276481,369.25640869140625,2569798
2013-02-25 00:00:00+05:30,369.4612066837302,375.8312274886221,366.5036970243161,374.0339660644531,1927688
2013-02-26 00:00:00+05:30,374.46614049232784,374.4888850074004,362.7953438387823,363.7281188964844,1060678
2013-02-27 00:00:00+05:30,365.63910081072527,368.4601149437104,359.0188362325076,363.47784423828125,1923936
2013-02-28 00:00:00+05:30,365.02488966839155,370.348411843512,362.067380434556,364.9794006347656,4031342
2013-03-01 00:00:00+05:30,364.9793482773806,367.18609374224513,357.471825914621,363.705322265625,1250104
2013-03-04 00:00:00+05:30,363.0910623783746,368.91507386481476,360.27004857009155,363.591552734375,2478736
2013-03-05 00:00:00+05:30,364.3195983356352,367.0950955523772,360.6340706182486,363.5233459472656,1161012
2013-03-06 00:00:00+05:30,364.13755406125165,366.73106716239715,361.72605259814605,362.8635559082031,1168412
2013-03-07 00:00:00+05:30,363.0910892362986,370.82611244058063,361.7715741694893,368.66485595703125,1668392
2013-03-08 00:00:00+05:30,369.46119273714856,374.4207198564633,369.46119273714856,372.16845703125,1361258
2013-03-11 00:00:00+05:30,373.10115123110995,381.58693852303077,371.50864631731866,379.19818115234375,2524388
2013-03-12 00:00:00+05:30,379.58495565056387,381.97371323781647,373.55618650178354,376.4454345703125,1984306
2013-03-13 00:00:00+05:30,379.4711421941256,382.11014458322614,377.9013819150059,381.0181579589844,2125560
2013-03-14 00:00:00+05:30,381.746141804776,383.58889176225193,376.96862751520496,377.7193908691406,3003670
2013-03-15 00:00:00+05:30,379.9261671180115,383.77093448318254,375.9221603720619,379.2891540527344,2263572
2013-03-18 00:00:00+05:30,377.42367045899215,383.11118809701196,376.650162506005,378.76593017578125,1513756
2013-03-19 00:00:00+05:30,379.9261707740492,386.20518456915244,377.94692578323975,381.7689208984375,3579608
2013-03-20 00:00:00+05:30,381.2911568814308,386.02318234734133,380.01715857017194,381.4049072265625,1787226
2013-03-21 00:00:00+05:30,381.4048796664674,384.0211374154471,377.6511185483662,378.24261474609375,1507534
2013-03-22 00:00:00+05:30,379.92613295532453,380.4948846513654,372.8736119244173,373.32861328125,1874746
2013-03-25 00:00:00+05:30,376.354392403368,376.74113245748316,372.00910712494766,373.3058776855469,2209706
2013-03-26 00:00:00+05:30,372.1911543706306,375.58092043836933,370.5076435949333,374.78466796875,1466472
2013-03-28 00:00:00+05:30,377.56016731326275,377.56016731326275,371.55414310171835,372.6234130859375,1938014
2013-04-01 00:00:00+05:30,371.30388506228496,374.9211517284444,368.5511321602427,369.75689697265625,529638
2013-04-02 00:00:00+05:30,369.57488296994364,388.4574408563735,369.05162025742936,387.3426818847656,2410474
2013-04-03 00:00:00+05:30,388.09346594926365,399.08173355713444,386.5237054992585,393.2577209472656,2615936
2013-04-04 00:00:00+05:30,392.6662522895724,398.08078066596215,390.6187457596732,391.27850341796875,1881574
2013-04-05 00:00:00+05:30,392.6661983054904,395.39620663669893,387.2061816430734,391.00543212890625,973426
2013-04-08 00:00:00+05:30,391.07374170926505,398.0807750658927,386.2962265400419,393.781005859375,1285532
2013-04-09 00:00:00+05:30,392.21118677791975,397.6712032991901,391.41493436856786,394.8501892089844,1893340
2013-04-10 00:00:00+05:30,401.3112710353113,401.3112710353113,385.06771403442707,390.1409912109375,2028646
2013-04-11 00:00:00+05:30,393.57622191707554,398.1262360432845,390.209200355248,396.92047119140625,1878720
2013-04-12 00:00:00+05:30,399.0361250230175,401.3111314370598,393.5761096293161,395.73736572265625,871688
2013-04-15 00:00:00+05:30,397.2161560058594,399.49116262674056,394.03114673662566,397.2161560058594,1054114
2013-04-16 00:00:00+05:30,395.8512149728965,407.18076085469124,395.39621357637594,404.6782531738281,1114702
2013-04-17 00:00:00+05:30,403.26766244617886,420.4212176829112,402.084670128229,415.9849548339844,2785996
2013-04-18 00:00:00+05:30,416.32623732333946,420.83076181920376,413.20948916874914,416.8949890136719,1706792
2013-04-22 00:00:00+05:30,419.5113302991213,429.7488627630369,416.7358326062267,421.80908203125,2539560
2013-04-23 00:00:00+05:30,420.5122611589997,433.82105089762763,420.5122611589997,432.2285461425781,1367732
2013-04-25 00:00:00+05:30,432.2969078466452,448.4949776771755,429.29390909811394,445.7194519042969,4517038
2013-04-26 00:00:00+05:30,442.48885897705816,443.6263624705724,434.23057250571185,435.0268249511719,2150012
2013-04-29 00:00:00+05:30,438.6213663152911,440.2593603092803,425.79032079210026,427.9288330078125,1885780
2013-04-30 00:00:00+05:30,428.6340826740427,439.0536263130497,427.97432506002997,432.7290954589844,1419360
2013-05-02 00:00:00+05:30,431.0455611871288,443.2623653265663,430.65882110914526,440.00909423828125,1594214
2013-05-03 00:00:00+05:30,441.71535587313974,450.17839861999647,437.71134908644063,448.0398864746094,2787976
2013-05-06 00:00:00+05:30,451.49788624561444,452.63538975211407,444.83213236017565,446.879638671875,710626
2013-05-07 00:00:00+05:30,451.31589335268086,454.0913907447927,448.63137402241045,450.8836364746094,1964836
2013-05-08 00:00:00+05:30,454.4781489635199,454.4781489635199,446.9478811541775,448.4266357421875,1158394
2013-05-09 00:00:00+05:30,446.92515735741875,448.1764112975897,429.3393408716738,431.4551086425781,2130960
2013-05-10 00:00:00+05:30,434.8903766875518,436.4373927129368,422.3096033638194,425.4490966796875,2265212
2013-05-13 00:00:00+05:30,436.6647845453967,438.00704403107403,427.8150030701866,429.47576904296875,1977412
2013-05-14 00:00:00+05:30,429.8853255451935,440.44136378517015,426.79132151910085,438.48486328125,1824490
2013-05-15 00:00:00+05:30,437.2563594084405,444.14964194771414,435.6638544574212,443.1941223144531,2628462
2013-05-16 00:00:00+05:30,438.62137916966486,446.69765456412705,438.4393674889619,440.828125,2135930
2013-05-17 00:00:00+05:30,441.39687331272177,444.3543825888144,435.8913671533517,439.5996398925781,829624
2013-05-20 00:00:00+05:30,443.48986818957394,450.2921446439632,436.20984582149583,439.50860595703125,1447280
2013-05-21 00:00:00+05:30,436.41460541656835,446.1288742314831,436.41460541656835,443.14862060546875,1588402
2013-05-22 00:00:00+05:30,443.7401669679131,461.23497838720704,443.7401669679131,455.865966796875,2406450
2013-05-23 00:00:00+05:30,445.9013782296456,462.5089295616681,445.9013782296456,457.7314147949219,2539658
