Date,Open,High,Low,Close,Volume
2013-01-01 00:00:00+05:30,593.0420046354487,599.1148251006832,592.8401886973563,596.234375,1721670
2013-01-02 00:00:00+05:30,601.554848357087,607.2790633432303,598.6744489343703,605.279296875,2631399
2013-01-03 00:00:00+05:30,607.2790767092757,609.5907634611775,598.1056989858268,600.6192016601562,2839403
2013-01-04 00:00:00+05:30,598.4726066723599,600.2705571434609,594.0326566721155,597.3717651367188,2227387
2013-01-07 00:00:00+05:30,598.9129551701374,599.2064826940847,581.5935714824669,582.7493896484375,4125613
2013-01-08 00:00:00+05:30,582.3274646755368,582.602700292914,571.943190670522,574.9520874023438,5971054
2013-01-09 00:00:00+05:30,572.7871196025012,580.7863371281105,567.0996393075405,568.6407470703125,5481434
2013-01-10 00:00:00+05:30,571.6863425337687,572.9339227887398,561.5038341679057,567.5032348632812,4787451
2013-01-11 00:00:00+05:30,567.6499624154866,568.512253029158,559.5773762759615,562.1275634765625,3456486
2013-01-14 00:00:00+05:30,563.6137697749064,571.6863569919966,561.4121367553377,570.5121459960938,2511222
2013-01-15 00:00:00+05:30,570.8423127600179,578.1810042749921,568.6223377904557,572.4201049804688,4279311
2013-01-16 00:00:00+05:30,568.8241913896262,575.7225669099182,563.9806093168967,566.62255859375,2080365
2013-01-17 00:00:00+05:30,564.3476631396313,568.4756939174586,558.1647881350189,560.5682373046875,2456646
2013-01-18 00:00:00+05:30,561.9074711316642,571.1359268722639,561.6139435829493,564.0540771484375,2414625
2013-01-21 00:00:00+05:30,565.0815180668253,576.0895825724657,563.3752285115182,575.1171875,2002873
2013-01-22 00:00:00+05:30,575.0254800354497,578.1627731511462,568.090368608333,569.9984741210938,2733189
2013-01-23 00:00:00+05:30,571.1358948137994,576.034503992169,567.0628916591554,572.8237915039062,2191965
2013-01-24 00:00:00+05:30,573.1540333579801,588.198414845659,550.0370655290327,581.5935668945312,14036971
2013-01-25 00:00:00+05:30,583.4099324734194,593.1887581384832,578.8782704940256,591.2440185546875,5253986
2013-01-28 00:00:00+05:30,591.5008833424256,592.3998586866411,583.6117700049994,585.996826171875,2286380
2013-01-29 00:00:00+05:30,585.6297745749032,589.9963046544293,581.5935070153271,585.1160888671875,2225565
